center
株式会社ポーラスター　冷凍加工食品製造　弁当　白山
北陸メイトー乳業株式会社　アイスクリーム　白山
株式会社まつ川　富山市旅篭町
有限会社桝屋商店　福井
有限会社みやけ食品　水産練製品　七尾
株式会社源　富山市　南央町
森永北陸乳業株式会社　アイスクリーム等　福井
ヤマサン食品工業株式会社　山菜野菜水煮食品
安田蒲鉾株式会社　蒲鉾、揚げ物、ちくわ　福井
株式会社山川かまぼこ　福井　かまぼこ
山元醸造株式会社　味噌　高岡
株式会社落雁諸江屋　和菓子　金沢
若鶴酒造株式会社
ドスパラ、PC
工具
株式会社リッチェル　プラスチック製品販売
株式会社池田模範堂　ムヒ　上市
池田薬品工業株式会社　上市
北日本製薬株式会社　主に漢方　上市
救急薬品工業株式会社　医療医薬品　射水
協和ファーマケミカル株式会社　医薬品原料　高岡
株式会社廣貫堂　富山市梅沢町　家庭用常備薬
株式会社廣昌堂　家庭薬配置　射水
五州薬品　ミネラルウォーター　入浴剤
金剛化学株式会社　富山市日俣　食欲増進剤
ジャパンメディック株式会社　医薬品、化粧品　富山市横越
十全化学株式会社
新新薬品工業株式会社　富山市今市
新生薬品株式会社　上市町横越　一般医薬品
ダイト株式会社　富山市八日町　医薬品原料
第一薬品工業　富山市草島　医薬品、サプリメント
大協薬品工業株式会社
大和薬品工業株式会社　医薬品
辰巳化学株式会社　医療用医薬品
立山製薬工場株式会社
中央薬品株式会社　富山市　四十物町　ズバリ　鎮痛剤
中新薬業株式会社　一般用薬品
テイカ製薬株式会社　医療用医薬品
東亜薬品株式会社　医薬品の製造販売
富山小林製薬株式会社
富山めぐみ製薬株式会社　廣貫堂・大協薬品工業、内外薬品共同　富山のくすりブランド育成目的　富山市三番町
株式会社ニッポンジーン　富山市荒川　体外診断用医薬品
日医工株式会社　医療用医薬品
株式会社日参製薬保寿堂　　滑川　胃腸薬　かぜ薬
日東メディック株式会社　衣料品の製造販売
日本ゼトック株式会社　化粧品、医薬部外品
福寿製薬株式会社　医療用医薬品原薬　萩原
富士化学工業株式会社　医薬品、添加剤　食品添加物製造販売　上市
富士フイルム富山化学株式会社　医薬品
前田薬品工業株式会社　新庄　一般医薬品
明治製薬株式会社　医薬品製造　滑川市
明治薬品株式会社　医薬品の製造販売
株式会社陽進堂　一般用、原料、医薬品　婦中町
リードケミカル株式会社　富山市　救急絆創膏、製造
ダンボール　パーク
